"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02103 0.0054 0.0012
0.02113 0.0048 0.0030
0.02123 0.0048 0.0012
0.02133 0.0054 0.0030
0.02143 0.0036 0.0018
0.02153 0.0054 0.0030
0.02163 0.0036 0.0012
0.02173 0.0060 0.0030
0.02183 0.0042 0.0018
0.02193 0.0048 0.0012
0.02203 0.0054 0.0018
0.02213 0.0048 0.0030
0.02223 0.0042 0.0024
0.02233 0.0060 0.0018
0.02243 0.0036 0.0024
0.02253 0.0054 0.0018
0.02263 0.0054 0.0018
0.02273 0.0036 0.0024
0.02283 0.0060 0.0018
0.02293 0.0042 0.0024
0.02303 0.0048 0.0030
0.02313 0.0054 0.0018
0.02322 0.0054 0.0018
0.02332 0.0036 0.0030
0.02342 0.0060 0.0024
0.02352 0.0036 0.0018
0.02362 0.0054 0.0024
0.02372 0.0048 0.0018
0.02382 0.0054 0.0012
0.02392 0.0042 0.0030
0.02402 0.0060 0.0018
0.02412 0.0036 0.0024
0.02422 0.0054 0.0018
0.02432 0.0054 0.0030
0.02442 0.0048 0.0012
0.02452 0.0042 0.0030
0.02462 0.0048 0.0030
0.02472 0.0054 0.0006
0.02482 0.0048 0.0036
0.02492 0.0048 0.0018
0.02502 0.0042 0.0018
0.02512 0.0060 0.0024
0.02522 0.0054 0.0018
0.02532 0.0042 0.0018
0.02542 0.0048 0.0024
0.02552 0.0054 0.0018
0.02562 0.0048 0.0024
0.02572 0.0054 0.0030
0.02582 0.0048 0.0018
0.02592 0.0054 0.0030
0.02602 0.0054 0.0024
0.02612 0.0054 0.0018
0.02622 0.0060 0.0018
0.02631 0.0042 0.0024
0.02641 0.0054 0.0030
0.02651 0.0048 0.0030
0.02661 0.0054 0.0012
0.02671 0.0060 0.0030
0.02681 0.0054 0.0018
0.02691 0.0042 0.0018
0.02701 0.0048 0.0030
0.02711 0.0054 0.0024
0.02721 0.0054 0.0030
0.02731 0.0060 0.0018
0.02741 0.0054 0.0024
0.02751 0.0054 0.0030
0.02761 0.0054 0.0018
0.02771 0.0066 0.0030
0.02781 0.0054 0.0030
0.02791 0.0048 0.0024
0.02801 0.0042 0.0018
0.02811 0.0060 0.0018
0.02821 0.0054 0.0030
0.02831 0.0054 0.0036
0.02841 0.0048 0.0018
0.02851 0.0054 0.0018
0.02861 0.0054 0.0024
0.02871 0.0054 0.0018
0.02881 0.0048 0.0030
0.02891 0.0054 0.0030
