"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00598 1725219 2.16746e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00608 1725046 2.16722e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00618 1724873 2.16699e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00628 1724700 2.16675e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00638 1724527 2.16652e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00648 1724354 2.16629e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00658 1724181 2.16606e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00668 1724008 2.16583e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00678 1723835 2.16561e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00688 1723662 2.16538e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00698 1723489 2.16516e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00708 1723316 2.16494e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00718 1723143 2.16472e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00728 1722970 2.1645e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00738 1722797 2.16428e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00748 1722624 2.16407e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00758 1722451 2.16385e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00768 1722278 2.16363e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00777 1722105 2.16342e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00787 1721932 2.1632e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00797 1721759 2.16299e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00807 1721586 2.16278e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00817 1721413 2.16258e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00827 1721240 2.16237e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00837 1721067 2.16216e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00847 1720894 2.16195e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00857 1720721 2.16175e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00867 1720548 2.16154e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00877 1720375 2.16134e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00887 1720202 2.16114e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00897 1720029 2.16094e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00907 1719856 2.16074e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00917 1719683 2.16054e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00927 1719510 2.16034e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00937 1719337 2.16014e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00947 1719164 2.15995e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00957 1718991 2.15976e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00967 1718818 2.15956e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00977 1718645 2.15937e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00987 1718472 2.15918e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.00997 1718299 2.15899e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01007 1718126 2.15879e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01017 1717953 2.1586e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01027 1717780 2.15841e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01037 1717607 2.15822e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
0.01047 1717434 2.15803e+11 0.4313 0.9898 0.0000 0.4313 0.4474 0.9898 0.0000
