"number" "dsum" "count" "missing" "quant_error" "fname"
283 6467.0 6467 3988103 0.0 "X:\Projects\bird_flu_surveillance\species\833_Tringa_stagnatilis.tif"
284 100703. 100703 3893867 0.0 "X:\Projects\bird_flu_surveillance\species\83395_Nyctophilus_corbeni.tif"
285 455.0 455 3994115 0.0 "X:\Projects\bird_flu_surveillance\species\835_Tringa_totanus.tif"
286 603.0 603 3993967 0.0 "X:\Projects\bird_flu_surveillance\species\838_Phalaropus_lobatus.tif"
287 359.0 359 3994211 0.0 "X:\Projects\bird_flu_surveillance\species\840_Glareola_maldivarum.tif"
288 1038.0 1038 3993532 0.0 "X:\Projects\bird_flu_surveillance\species\841_Gallinago_stenura.tif"
289 52513.0 52513 3942057 0.0 "X:\Projects\bird_flu_surveillance\species\84121_Amytornis_modestus.tif"
290 1324.0 1324 3993246 0.0 "X:\Projects\bird_flu_surveillance\species\842_Calidris_falcinellus.tif"
291 28.0 28 3994542 0.0 "X:\Projects\bird_flu_surveillance\species\84292_Ardenna_pacifica.tif"
292 1434.0 1434 3993136 0.0 "X:\Projects\bird_flu_surveillance\species\843_Limnodromus_semipalmatus.tif"
293 18458.0 18458 3976112 0.0 "X:\Projects\bird_flu_surveillance\species\844_Limosa_lapponica.tif"
294 3541.0 3541 3991029 0.0 "X:\Projects\bird_flu_surveillance\species\845_Limosa_limosa.tif"
295 396.0 396 3994174 0.0 "X:\Projects\bird_flu_surveillance\species\84650_Pezoporus_flaviventris.tif"
296 20737.0 20737 3973833 0.0 "X:\Projects\bird_flu_surveillance\species\847_Numenius_madagascariensis.tif"
297 1565.0 1565 3993005 0.0 "X:\Projects\bird_flu_surveillance\species\848_Numenius_minutus.tif"
298 7032.0 7032 3987538 0.0 "X:\Projects\bird_flu_surveillance\species\849_Numenius_phaeopus.tif"
299 799.0 799 3993771 0.0 "X:\Projects\bird_flu_surveillance\species\850_Calidris_pugnax.tif"
300 436.0 436 3994134 0.0 "X:\Projects\bird_flu_surveillance\species\85046_Stipiturus_malachurus_halmaturinus.tif"
301 2882.0 2882 3991688 0.0 "X:\Projects\bird_flu_surveillance\species\851_Tringa_brevipes.tif"
302 171096. 171096 3823474 0.0 "X:\Projects\bird_flu_surveillance\species\85104_Phascolarctos_cinereus_(combined_populations_of_Qld,_NSW_and_the_ACT).tif"
303 7999.0 7999 3986571 0.0 "X:\Projects\bird_flu_surveillance\species\855_Calidris_canutus.tif"
304 20284.0 20284 3974286 0.0 "X:\Projects\bird_flu_surveillance\species\856_Calidris_ferruginea.tif"
305 7430.0 7430 3987140 0.0 "X:\Projects\bird_flu_surveillance\species\858_Calidris_melanotos.tif"
306 4205.0 4205 3990365 0.0 "X:\Projects\bird_flu_surveillance\species\860_Calidris_ruficollis.tif"
307 674.0 674 3993896 0.0 "X:\Projects\bird_flu_surveillance\species\861_Calidris_subminuta.tif"
308 875.0 875 3993695 0.0 "X:\Projects\bird_flu_surveillance\species\86183_Amytornis_modestus_obscurior.tif"
309 3989.0 3989 3990581 0.0 "X:\Projects\bird_flu_surveillance\species\862_Calidris_tenuirostris.tif"
310 848.0 848 3993722 0.0 "X:\Projects\bird_flu_surveillance\species\86269_Amytornis_merrotsyi_merrotsyi.tif"
311 386.0 386 3994184 0.0 "X:\Projects\bird_flu_surveillance\species\86270_Amytornis_merrotsyi_pedleri.tif"
312 116491. 116491 3878079 0.0 "X:\Projects\bird_flu_surveillance\species\863_Gallinago_hardwickii.tif"
313 4900.0 4900 3989670 0.0 "X:\Projects\bird_flu_surveillance\species\86367_Potorous_tridactylus_trisulcatus.tif"
314 6348.0 6348 3988222 0.0 "X:\Projects\bird_flu_surveillance\species\86380_Limosa_lapponica_baueri.tif"
315 887.0 887 3993683 0.0 "X:\Projects\bird_flu_surveillance\species\86394_Nesoptilotis_leucotis_thomasi.tif"
316 1029.0 1029 3993541 0.0 "X:\Projects\bird_flu_surveillance\species\864_Gallinago_megala.tif"
317 3859.0 3859 3990711 0.0 "X:\Projects\bird_flu_surveillance\species\86432_Limosa_lapponica_menzbieri.tif"
318 6720.0 6720 3987850 0.0 "X:\Projects\bird_flu_surveillance\species\865_Pluvialis_squatarola.tif"
320 24.0 24 3994546 0.0 "X:\Projects\bird_flu_surveillance\species\86651_Cuculus_optatus.tif"
321 2043.0 2043 3992527 0.0 "X:\Projects\bird_flu_surveillance\species\86675_Hipposideros_inornatus.tif"
322 3145.0 3145 3991425 0.0 "X:\Projects\bird_flu_surveillance\species\870_Himantopus_himantopus.tif"
323 2634.0 2634 3991936 0.0 "X:\Projects\bird_flu_surveillance\species\871_Recurvirostra_novaehollandiae.tif"
324 7950.0 7950 3986620 0.0 "X:\Projects\bird_flu_surveillance\species\87136_Balaenoptera_omurai.tif"
325 3619.0 3619 3990951 0.0 "X:\Projects\bird_flu_surveillance\species\872_Arenaria_interpres.tif"
326 28340.0 28340 3966230 0.0 "X:\Projects\bird_flu_surveillance\species\874_Calidris_acuminata.tif"
327 3143.0 3143 3991427 0.0 "X:\Projects\bird_flu_surveillance\species\875_Calidris_alba.tif"
328 791.0 791 3993779 0.0 "X:\Projects\bird_flu_surveillance\species\87597_Tachyglossus_aculeatus_multiaculeatus.tif"
329 65445.0 65445 3929125 0.0 "X:\Projects\bird_flu_surveillance\species\87600_Petaurus_australis_australis.tif"
330 2043.0 2043 3992527 0.0 "X:\Projects\bird_flu_surveillance\species\87605_Petrogale_concinna_concinna.tif"
331 6717.0 6717 3987853 0.0 "X:\Projects\bird_flu_surveillance\species\87606_Petrogale_concinna_canescens.tif"
332 12031.0 12031 3982539 0.0 "X:\Projects\bird_flu_surveillance\species\87607_Petrogale_concinna_monastria.tif"
333 5979.0 5979 3988591 0.0 "X:\Projects\bird_flu_surveillance\species\87608_Petrogale_xanthopus_celeris.tif"
335 5199.0 5199 3989371 0.0 "X:\Projects\bird_flu_surveillance\species\87617_Mastacomys_fuscus_mordicus.tif"
336 4988.0 4988 3989582 0.0 "X:\Projects\bird_flu_surveillance\species\87618_Mesembriomys_gouldii_gouldii.tif"
337 1014.0 1014 3993556 0.0 "X:\Projects\bird_flu_surveillance\species\87619_Mesembriomys_gouldii_melvillensis.tif"
338 6021.0 6021 3988549 0.0 "X:\Projects\bird_flu_surveillance\species\87620_Mesembriomys_gouldii_rattoides.tif"
339 21633.0 21633 3972937 0.0 "X:\Projects\bird_flu_surveillance\species\87639_Rhinolophus_robertsi.tif"
340 11125.0 11125 3983445 0.0 "X:\Projects\bird_flu_surveillance\species\87645_Miniopterus_orianae_bassanii.tif"
341 26613.0 26613 3967957 0.0 "X:\Projects\bird_flu_surveillance\species\877_Charadrius_leschenaultii.tif"
342 4.0 4 3994566 0.0 "X:\Projects\bird_flu_surveillance\species\87732_Hypotaenidia_sylvestris.tif"
343 2497.0 2497 3992073 0.0 "X:\Projects\bird_flu_surveillance\species\879_Charadrius_mongolus.tif"
344 8012.0 8012 3986558 0.0 "X:\Projects\bird_flu_surveillance\species\87942_Sousa_sahulensis.tif"
345 7024.0 7024 3987546 0.0 "X:\Projects\bird_flu_surveillance\species\88_Pseudomys_fumeus.tif"
346 70.0 70 3994500 0.0 "X:\Projects\bird_flu_surveillance\species\88019_Lagorchestes_hirsutus_Central_Australian_subspecies.tif"
347 94.0 94 3994476 0.0 "X:\Projects\bird_flu_surveillance\species\88020_Perameles_gunnii_Victorian_subspecies.tif"
348 623.0 623 3993947 0.0 "X:\Projects\bird_flu_surveillance\species\88021_Bettongia_lesueur_Barrow_and_Boodie_Islands_subspecies.tif"
349 380.0 380 3994190 0.0 "X:\Projects\bird_flu_surveillance\species\88022_Petaurus_australis_brevirostrum.tif"
350 3163.0 3163 3991407 0.0 "X:\Projects\bird_flu_surveillance\species\881_Charadrius_ruficapillus.tif"
351 1067.0 1067 3993503 0.0 "X:\Projects\bird_flu_surveillance\species\882_Charadrius_veredus.tif"
352 54.0 54 3994516 0.0 "X:\Projects\bird_flu_surveillance\species\88217_Antechinus_arktos.tif"
353 8.0 8 3994562 0.0 "X:\Projects\bird_flu_surveillance\species\88218_Antechinus_argentus.tif"
354 10279.0 10279 3984291 0.0 "X:\Projects\bird_flu_surveillance\species\88453_Phascogale_tapoatafa_kimberleyensis.tif"
356 3563.0 3563 3991007 0.0 "X:\Projects\bird_flu_surveillance\species\89221_Diomedea_epomophora.tif"
357 5526.0 5526 3989044 0.0 "X:\Projects\bird_flu_surveillance\species\89223_Diomedea_exulans.tif"
358 5788.0 5788 3988782 0.0 "X:\Projects\bird_flu_surveillance\species\89224_Thalassarche_cauta.tif"
359 50.0 50 3994520 0.0 "X:\Projects\bird_flu_surveillance\species\89262_Osphranter_robustus_isabellinus.tif"
360 5821.0 5821 3988749 0.0 "X:\Projects\bird_flu_surveillance\species\89289_Notamacropus_parma.tif"
361 1884.0 1884 3992686 0.0 "X:\Projects\bird_flu_surveillance\species\895_Charadrius_bicinctus.tif"
362 132.0 132 3994438 0.0 "X:\Projects\bird_flu_surveillance\species\896_Charadrius_dubius.tif"
363 3861.0 3861 3990709 0.0 "X:\Projects\bird_flu_surveillance\species\90381_Thinornis_cucullatus_cucullatus.tif"
364 30108.0 30108 3964462 0.0 "X:\Projects\bird_flu_surveillance\species\906_Pedionomus_torquatus.tif"
365 9652.0 9652 3984918 0.0 "X:\Projects\bird_flu_surveillance\species\90831_Petrogale_lateralis_centralis.tif"
366 550.0 550 3994020 0.0 "X:\Projects\bird_flu_surveillance\species\90832_Petrogale_lateralis_kimberleyensis.tif"
367 401.0 401 3994169 0.0 "X:\Projects\bird_flu_surveillance\species\91209_Platycercus_elegans_melanopterus.tif"
368 6798.0 6798 3987772 0.0 "X:\Projects\bird_flu_surveillance\species\91648_Amytornis_striatus_howei.tif"
369 175.0 175 3994395 0.0 "X:\Projects\bird_flu_surveillance\species\91709_Acanthiza_pusilla_magnirostris.tif"
370 2525.0 2525 3992045 0.0 "X:\Projects\bird_flu_surveillance\species\91824_Phaethon_rubricauda_westralis.tif"
371 11094.0 11094 3983476 0.0 "X:\Projects\bird_flu_surveillance\species\92008_Petauroides_minor.tif"
372 11771.0 11771 3982799 0.0 "X:\Projects\bird_flu_surveillance\species\923_Turnix_melanogaster.tif"
373 291.0 291 3994279 0.0 "X:\Projects\bird_flu_surveillance\species\92894_Sminthopsis_fuliginosa_aitkeni.tif"
374 778595. 778595 3215975 0.0 "X:\Projects\bird_flu_surveillance\species\929_Falco_hypoleucos.tif"
375 291347. 291347 3703223 0.0 "X:\Projects\bird_flu_surveillance\species\934_Leipoa_ocellata.tif"
376 133815. 133815 3860755 0.0 "X:\Projects\bird_flu_surveillance\species\942_Erythrotriorchis_radiatus.tif"
377 243354. 243354 3751216 0.0 "X:\Projects\bird_flu_surveillance\species\943_Haliaeetus_leucogaster.tif"
378 40818.0 40818 3953752 0.0 "X:\Projects\bird_flu_surveillance\species\952_Pandion_haliaetus.tif"
379 12671.0 12671 3981899 0.0 "X:\Projects\bird_flu_surveillance\species\96_Pseudomys_novaehollandiae.tif"
380 2630.0 2630 3991940 0.0 "X:\Projects\bird_flu_surveillance\species\98_Pseudomys_oralis.tif"
381 1285.0 1285 3993285 0.0 "X:\Projects\bird_flu_surveillance\species\99_Pseudomys_pilligaensis.tif"
382 5240.0 5240 3989330 0.0 "X:\Projects\bird_flu_surveillance\species\994_Phaethon_rubricauda.tif"
