"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0036 0.0012
0.00020 0.0036 0.0006
0.00030 0.0036 0.0024
0.00040 0.0042 0.0018
0.00050 0.0036 0.0024
0.00060 0.0036 0.0018
0.00070 0.0036 0.0000
0.00080 0.0036 0.0018
0.00090 0.0036 0.0024
0.00100 0.0036 0.0018
0.00110 0.0036 0.0018
0.00120 0.0042 0.0000
0.00130 0.0036 0.0024
0.00140 0.0036 0.0018
0.00150 0.0036 0.0024
0.00159 0.0036 0.0018
0.00169 0.0036 0.0000
0.00179 0.0036 0.0018
0.00189 0.0048 0.0024
0.00199 0.0036 0.0018
0.00209 0.0036 0.0018
0.00219 0.0036 0.0012
0.00229 0.0042 0.0012
0.00239 0.0036 0.0018
0.00249 0.0036 0.0024
0.00259 0.0036 0.0018
0.00269 0.0036 0.0012
0.00279 0.0036 0.0006
0.00289 0.0036 0.0024
0.00299 0.0036 0.0018
0.00309 0.0042 0.0024
0.00319 0.0036 0.0006
0.00329 0.0036 0.0012
0.00339 0.0036 0.0018
0.00349 0.0036 0.0024
0.00359 0.0036 0.0018
0.00369 0.0036 0.0018
0.00379 0.0048 0.0000
0.00389 0.0036 0.0024
0.00399 0.0036 0.0018
0.00409 0.0036 0.0024
0.00419 0.0042 0.0018
0.00429 0.0036 0.0000
0.00439 0.0036 0.0018
0.00449 0.0036 0.0024
0.00459 0.0036 0.0018
0.00468 0.0036 0.0024
0.00478 0.0036 0.0000
0.00488 0.0042 0.0018
0.00498 0.0036 0.0018
0.00508 0.0036 0.0024
0.00518 0.0036 0.0018
0.00528 0.0036 0.0012
0.00538 0.0036 0.0006
0.00548 0.0036 0.0024
0.00558 0.0036 0.0018
0.00568 0.0042 0.0024
0.00578 0.0036 0.0006
0.00588 0.0036 0.0012
0.00598 0.0036 0.0018
0.00608 0.0036 0.0024
0.00618 0.0036 0.0018
0.00628 0.0036 0.0018
0.00638 0.0036 0.0000
0.00648 0.0042 0.0024
0.00658 0.0036 0.0018
0.00668 0.0036 0.0024
0.00678 0.0036 0.0018
0.00688 0.0036 0.0000
0.00698 0.0036 0.0018
0.00708 0.0036 0.0024
0.00718 0.0042 0.0018
0.00728 0.0036 0.0024
0.00738 0.0036 0.0000
0.00748 0.0042 0.0018
0.00758 0.0042 0.0018
0.00768 0.0036 0.0024
0.00777 0.0036 0.0018
0.00787 0.0036 0.0012
0.00797 0.0036 0.0006
0.00807 0.0036 0.0024
0.00817 0.0036 0.0018
0.00827 0.0042 0.0024
0.00837 0.0036 0.0006
0.00847 0.0036 0.0012
0.00857 0.0036 0.0018
0.00867 0.0036 0.0024
0.00877 0.0036 0.0018
0.00887 0.0036 0.0012
0.00897 0.0036 0.0006
0.00907 0.0042 0.0024
0.00917 0.0036 0.0018
0.00927 0.0042 0.0024
0.00937 0.0042 0.0018
0.00947 0.0036 0.0000
0.00957 0.0036 0.0018
0.00967 0.0036 0.0024
0.00977 0.0036 0.0018
0.00987 0.0036 0.0024
0.00997 0.0036 0.0000
0.01007 0.0036 0.0018
0.01017 0.0042 0.0018
0.01027 0.0036 0.0024
0.01037 0.0036 0.0018
0.01047 0.0036 0.0012
0.01057 0.0036 0.0006
0.01067 0.0036 0.0024
0.01077 0.0036 0.0018
0.01086 0.0036 0.0024
0.01096 0.0042 0.0006
0.01106 0.0036 0.0012
0.01116 0.0036 0.0018
0.01126 0.0036 0.0024
0.01136 0.0036 0.0018
0.01146 0.0036 0.0012
0.01156 0.0036 0.0012
0.01166 0.0042 0.0018
0.01176 0.0036 0.0018
0.01186 0.0036 0.0024
0.01196 0.0036 0.0018
